id,host_id,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
32420453,149425003,Sloan,2017-09-06,"Austin, TX",N/A,N/A,N/A,f,Barton Hills,1,1,t,t,Austin,78704,Private room in condo,Private room,2,N/A,1 shared bath,1,1,75.00,1,5,f,0,0,0,0,3,0,0,5,5,5,5,5,5,5,f,1,0,1,0,0.06
32441667,243684594,Shirley,2019-02-17,"Austin, TX",within an hour,98%,96%,f,South Lamar,68,128,t,t,Austin,78704,Entire rental unit,Entire home/apt,4,N/A,1 bath,1,1,79.00,1,365,t,27,57,87,362,81,30,7,4.75,4.77,4.74,4.8,4.89,4.89,4.72,f,62,62,0,0,1.64
32442155,664884,Charlotte,2011-06-04,"Los Angeles, CA",N/A,N/A,N/A,f,Upper Boggy Creek,1,2,t,t,Austin,78722,Entire home,Entire home/apt,6,N/A,1 bath,2,2,155.00,2,1125,f,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,f,1,1,0,0,N/A
32444869,22240862,Derek,2014-10-07,"Austin, TX",N/A,N/A,100%,f,Downtown,1,1,t,t,Austin,78701,Entire rental unit,Entire home/apt,6,N/A,2 baths,2,2,265.00,3,1125,t,0,0,0,0,4,3,0,5,5,4.75,4.5,5,5,4.75,f,1,1,0,0,0.08
32446015,3976575,Jacob,2012-10-25,"Austin, TX",N/A,N/A,N/A,f,N/A,1,1,t,f,Austin,78702,Entire guesthouse,Entire home/apt,4,N/A,1 bath,1,3,99.00,1,14,t,0,0,0,0,66,0,0,4.54,4.74,4.25,4.71,4.58,4.89,4.66,f,1,1,0,0,1.33
32455359,42083772,Kokayi,2015-08-21,"Dallas, TX",within an hour,100%,99%,f,West Austin,5,8,t,t,Austin,78703,Entire rental unit,Entire home/apt,3,N/A,1 bath,1,1,250.00,1,4,t,0,0,0,0,15,0,0,4.6,4.73,4.6,4.73,4.87,4.73,4.53,f,2,2,0,0,0.31
32466320,23046584,Maegan,2014-10-27,"Austin, TX",within an hour,100%,85%,t,Downtown,1,1,t,t,Austin,78701,Entire condo,Entire home/apt,4,N/A,1.5 baths,2,2,330.00,3,1125,t,13,13,13,13,32,11,2,4.88,4.91,4.69,5,4.94,4.88,4.72,f,1,1,0,0,0.65
32468523,29107694,Bren,2015-03-10,"Austin, TX",within an hour,100%,99%,t,Clarksville,3,4,t,t,Austin,78703,Entire bungalow,Entire home/apt,4,N/A,1 bath,1,1,294.00,2,1125,t,8,20,43,306,33,23,2,5,5,4.91,4.97,5,5,4.91,f,1,1,0,0,0.67
32469860,4532827,Dani,2012-12-30,"Austin, TX",within an hour,100%,100%,t,Pecan Spings,2,4,t,t,Austin,78723,Entire home,Entire home/apt,4,N/A,2 baths,2,2,190.00,2,1125,t,12,29,37,37,24,11,1,5,5,5,5,5,4.91,4.96,f,1,1,0,0,0.53
32474560,40700362,Marlene,2015-08-06,N/A,N/A,N/A,N/A,f,Zilker,1,2,t,f,Austin,78704,Entire home,Entire home/apt,7,N/A,1 bath,3,4,285.00,3,1125,f,0,0,0,0,5,0,0,3.75,5,2.5,4.5,5,5,3.5,f,1,1,0,0,0.1
32478389,244025800,Løgan,2019-02-19,"Austin, TX",N/A,N/A,N/A,f,N/A,1,1,t,f,Austin,78750,Shared room in home,Shared room,1,N/A,1 shared bath,1,1,40.00,1,1125,f,0,0,0,0,2,0,0,1,1,1,1,1,1.5,1,f,1,0,0,1,0.04
32491021,56897576,Yulissa,2016-01-31,"Austin, TX",within a few hours,100%,100%,f,Dawson,1,6,t,f,Austin,78704,Entire rental unit,Entire home/apt,2,N/A,1 bath,1,1,75.00,2,1125,t,0,0,0,0,8,0,0,4.75,4.63,4.63,5,4.88,4.88,4.38,t,1,1,0,0,0.16
32501554,22549126,Carmine,2014-10-14,"Austin, TX",a few days or more,22%,55%,f,Crestview,1,1,t,t,Austin,78757,Entire guesthouse,Entire home/apt,2,N/A,1 bath,1,1,125.00,2,1125,t,23,45,72,347,55,13,0,4.98,5,4.98,4.96,5,4.96,4.96,f,1,1,0,0,1.15
32503892,244235046,Jenny,2019-02-19,N/A,N/A,N/A,N/A,f,N/A,1,1,f,f,Austin,78741,Entire condo,Entire home/apt,3,N/A,1 bath,1,1,195.00,1,30,f,0,0,0,0,3,0,0,3.67,3.67,3.67,3.67,3.67,3.67,3.67,f,1,1,0,0,0.06
32504843,1541934,Margo,2011-12-28,"Austin, TX",within an hour,100%,91%,t,Hyde Park,4,39,t,t,Austin,78751,Entire condo,Entire home/apt,2,N/A,1 bath,1,1,86.00,28,180,t,0,0,0,78,5,2,0,5,5,5,5,5,5,5,f,4,3,1,0,0.11
32516488,90995149,Cheri,2016-08-20,"Austin, TX",N/A,N/A,N/A,f,Downtown,1,2,t,t,Austin,78701,Entire loft,Entire home/apt,2,N/A,1 bath,1,1,350.00,2,1125,f,0,0,0,0,4,0,0,5,5,5,5,5,5,4.5,f,1,1,0,0,0.08
32517261,5894943,Nicolas,2013-04-12,"Austin, TX",within an hour,100%,97%,f,Zilker,1,2,t,t,Austin,78704,Entire guest suite,Entire home/apt,2,N/A,1 bath,N/A,1,197.00,2,40,t,13,14,30,30,109,15,2,4.79,4.96,5,5,4.94,4.98,4.9,f,1,1,0,0,2.42
32522284,24516340,Alex,2014-12-05,"Dallas, TX",within an hour,99%,100%,f,East Downtown,25,31,t,t,Austin,78702,Entire bungalow,Entire home/apt,9,N/A,2 baths,3,7,290.00,3,32,t,14,30,57,73,62,20,2,4.53,4.58,4.55,4.82,4.53,4.77,4.56,t,24,24,0,0,1.27
32522569,24516340,Alex,2014-12-05,"Dallas, TX",within an hour,99%,100%,f,East Downtown,25,31,t,t,Austin,78702,Entire bungalow,Entire home/apt,9,N/A,2 baths,3,7,413.00,3,62,t,16,32,59,78,58,23,0,4.69,4.79,4.69,4.88,4.66,4.91,4.79,t,24,24,0,0,1.2
32527550,104103554,Shawn,2016-11-17,"Austin, TX",within an hour,100%,100%,t,Georgian Acres,2,2,t,t,Austin,78753,Entire guesthouse,Entire home/apt,4,N/A,1 bath,1,1,104.00,1,365,t,28,58,87,87,76,31,1,4.87,4.84,4.83,4.93,4.96,4.8,4.86,f,2,2,0,0,1.72
32528785,223213088,Barbara,2018-10-29,"Austin, TX",within an hour,100%,100%,t,Oak Hill,1,1,t,t,Austin,78737,Entire guesthouse,Entire home/apt,4,N/A,1 bath,2,2,106.00,3,60,t,7,18,33,108,185,29,0,4.95,4.95,4.99,4.96,4.86,4.96,4.96,f,1,1,0,0,3.78
32528913,26119159,Blake,2015-01-14,"Austin, TX",within an hour,100%,100%,t,N/A,1,1,t,t,Austin,78702,Entire guesthouse,Entire home/apt,2,N/A,1 bath,N/A,1,138.00,1,1125,t,0,11,35,112,327,79,10,4.98,4.99,4.98,4.94,4.98,4.95,4.96,f,1,1,0,0,7.13
32529310,2322210,Gen,2012-05-08,"Austin, TX",within an hour,100%,100%,t,East Downtown,1,2,t,t,Austin,78702,Entire home,Entire home/apt,6,N/A,2.5 baths,3,3,767.00,1,1125,t,28,58,88,178,74,26,0,4.96,5,4.85,5,5,5,5,t,1,1,0,0,1.52
32544075,22028769,Luc,2014-10-01,"Austin, TX",within an hour,100%,97%,t,Oak Hill,3,6,t,t,Austin,78737,Entire home,Entire home/apt,6,N/A,2 baths,3,3,137.00,5,1125,t,16,41,58,58,138,41,3,4.89,4.9,4.85,4.99,4.91,4.66,4.85,f,3,3,0,0,2.83
32546017,61156246,Jake,2016-03-01,"Austin, TX",within an hour,97%,100%,t,N/A,6,9,t,t,Austin,78705,Entire rental unit,Entire home/apt,2,N/A,1 bath,N/A,1,116.00,2,75,t,8,28,44,44,156,37,2,4.82,4.93,4.8,4.94,4.52,4.88,4.83,t,4,4,0,0,3.17
32549873,17131616,Kathleen,2019-02-21,"Austin, TX",within an hour,100%,67%,f,Westlake Hills,1,1,t,f,Austin,78746,Entire home,Entire home/apt,8,N/A,2 baths,4,5,450.00,2,7,t,0,0,0,25,9,1,0,5,5,4.89,4.89,5,5,4.78,f,1,1,0,0,0.18
32552584,3440175,James,2012-09-01,"Austin, TX",within an hour,100%,100%,f,Govalle,9,9,t,t,Austin,78702,Camper/RV,Entire home/apt,2,N/A,1.5 baths,N/A,1,34.00,14,1125,t,0,0,0,0,71,0,0,4.93,4.9,4.96,4.9,4.93,4.83,4.83,f,8,7,1,0,1.44
32553213,6456816,Michelle,2013-05-18,"Austin, TX",N/A,N/A,N/A,f,N/A,1,1,t,t,Austin,78754,Private room in townhouse,Private room,2,N/A,1 private bath,1,1,29.00,3,7,t,0,0,0,0,37,0,0,4.76,4.84,4.51,5,4.95,4.76,4.84,f,1,0,1,0,0.75
32567313,1747650,Salma,2012-02-13,"Austin, TX",within an hour,100%,97%,f,Hyde Park,1,1,t,t,Austin,78751,Entire bungalow,Entire home/apt,4,N/A,1 bath,2,2,159.00,2,1125,t,20,38,68,334,20,17,5,4.9,4.85,4.95,4.9,5,4.75,4.9,t,1,1,0,0,0.41
32570381,244766025,Delfo,2019-02-22,"Austin, TX",N/A,N/A,100%,t,Zilker,1,1,t,t,Austin,78704,Entire home,Entire home/apt,6,N/A,2 baths,3,4,253.00,3,1125,t,0,0,0,42,103,20,0,4.88,4.93,4.83,4.98,4.96,4.97,4.86,t,1,1,0,0,2.13
32577834,6370244,Ti,2013-05-13,"Austin, TX",N/A,N/A,N/A,f,N/A,1,3,t,t,Austin,78758,Entire condo,Entire home/apt,4,N/A,1 bath,1,2,182.00,1,30,f,0,0,0,0,75,0,0,4.77,4.87,4.91,4.8,4.89,4.87,4.87,f,1,1,0,0,1.54
32583393,406645,Kazique,2011-02-23,"Austin, TX",within a day,75%,100%,f,MLK & 183,1,4,t,f,Austin,78721,Private room in home,Private room,1,N/A,1 shared bath,1,1,28.00,30,120,t,0,7,37,126,6,3,0,4.83,4.67,4.5,5,5,4.5,4.83,t,1,0,1,0,0.22
32592481,3752014,Kirsten,2012-10-03,"Austin, TX",N/A,N/A,N/A,f,N/A,4,6,t,t,Austin,78735,Private room in home,Private room,2,N/A,1 bath,1,1,100.00,2,10,t,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,f,4,2,2,0,N/A
32592723,3752014,Kirsten,2012-10-03,"Austin, TX",N/A,N/A,N/A,f,N/A,4,6,t,t,Austin,78735,Private room in home,Private room,2,N/A,1 shared bath,1,1,100.00,2,10,t,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,f,4,2,2,0,N/A
32593239,244976228,Katya&Rudy,2019-02-23,"Austin, TX",within an hour,100%,100%,t,Hancock,2,2,t,t,Austin,78751,Entire home,Entire home/apt,8,N/A,2 baths,3,4,418.00,2,360,t,20,36,66,83,67,18,1,4.99,5,4.9,5,5,4.8,5,f,1,1,0,0,1.37
32593503,16923588,Olman,2014-06-17,"Austin, TX",within an hour,100%,99%,t,MLK & 183,3,3,t,t,Austin,78721,Entire home,Entire home/apt,4,N/A,2.5 baths,2,3,184.00,1,120,t,6,29,59,260,70,54,3,4.94,4.87,4.99,4.97,4.99,4.57,4.87,f,3,3,0,0,1.43
32594247,3440175,James,2012-09-01,"Austin, TX",within an hour,100%,100%,f,Govalle,9,9,t,t,Austin,78702,Camper/RV,Entire home/apt,2,N/A,1.5 baths,N/A,1,40.00,1,1125,t,0,0,0,0,52,0,0,4.83,4.92,4.98,4.96,4.87,4.75,4.9,f,8,7,1,0,1.06
32609935,41485433,Will,2015-08-14,"Austin, TX",N/A,N/A,N/A,f,N/A,1,1,t,t,Austin,78723,Entire home,Entire home/apt,4,N/A,2 baths,2,3,170.00,2,1125,t,0,0,0,0,16,0,0,5,4.94,4.94,5,5,5,4.88,f,1,1,0,0,0.33
32609973,14164204,Sonia,2014-04-11,"Austin, TX",within a day,100%,N/A,f,Travis Heights,1,1,t,t,Austin,78704,Entire bungalow,Entire home/apt,3,N/A,1 bath,2,2,395.00,3,1125,t,0,0,0,0,17,0,0,5,5,4.94,4.94,5,5,4.82,f,1,1,0,0,0.35
32614151,154822714,Adriana,2017-10-16,N/A,N/A,N/A,N/A,f,N/A,1,3,t,f,Austin,78758,Private room in rental unit,Private room,2,N/A,1 bath,1,1,45.00,4,6,f,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,f,1,0,1,0,N/A
32615462,33286769,Caitlin,2015-05-13,"Austin, TX",within an hour,100%,100%,t,N/A,1,2,t,t,Austin,78704,Entire guesthouse,Entire home/apt,2,N/A,1 bath,N/A,1,154.00,2,6,t,5,20,20,20,187,42,6,4.99,4.98,4.97,4.99,4.98,4.98,4.91,f,1,1,0,0,3.89
32617404,39435052,Ryan,2015-07-24,"Austin, TX",N/A,N/A,N/A,f,N/A,1,1,t,t,Austin,78702,Entire home,Entire home/apt,10,N/A,3.5 baths,4,6,861.00,2,1125,t,0,0,0,0,2,0,0,5,5,5,5,5,5,5,f,1,1,0,0,0.04
32623469,117469884,Troy,2017-02-21,"Austin, TX",N/A,N/A,N/A,f,N/A,1,1,t,t,Austin,78701,Entire condo,Entire home/apt,5,N/A,2 baths,2,2,450.00,1,1125,f,0,0,0,0,1,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,f,1,1,0,0,0.02
32631529,58495983,Gume,2016-02-12,"Austin, TX",N/A,N/A,N/A,f,N/A,1,1,t,f,Austin,78701,Entire condo,Entire home/apt,2,N/A,1 bath,1,1,225.00,2,1125,t,0,0,0,0,26,0,0,4.92,4.92,4.96,4.96,5,5,4.85,t,1,1,0,0,0.53
32633931,245345125,Tina,2019-02-25,"Austin, TX",within a few hours,100%,98%,t,N/A,2,2,t,t,"Lakeway, Texas, United States",78738,Entire guest suite,Entire home/apt,2,N/A,1 bath,1,1,110.00,1,10,t,8,33,63,63,99,24,1,4.97,4.97,4.98,4.94,4.97,4.96,4.95,f,2,1,1,0,2.03
32635384,52185591,Mazen,2015-12-24,N/A,within an hour,100%,97%,t,Cherry Creek,2,2,t,t,Austin,78749,Entire home,Entire home/apt,5,N/A,2 baths,2,2,123.00,2,30,t,22,44,61,61,150,29,3,4.87,4.91,4.75,4.93,4.93,4.93,4.79,f,2,2,0,0,3.05
32637664,245376547,Sloane,2019-02-25,"Austin, TX",N/A,N/A,100%,f,East Riverside,1,1,t,f,Austin,78741,Entire rental unit,Entire home/apt,3,N/A,1 bath,1,1,208.00,2,12,t,0,0,0,0,45,3,0,4.91,5,4.84,4.98,4.96,5,4.87,f,1,1,0,0,0.92
32637996,542848,Megan,2011-04-28,"Los Angeles, CA",within an hour,100%,90%,f,Allendale,1,1,t,t,Austin,78756,Entire guesthouse,Entire home/apt,2,N/A,1 bath,N/A,1,193.00,2,1125,t,20,40,70,159,30,13,0,4.8,4.87,4.77,4.97,4.93,4.93,4.73,f,1,1,0,0,0.61
32638404,9998372,Sterling,2013-11-13,"Austin, TX",N/A,N/A,100%,f,Montopolis,1,8,t,t,Austin,78741,Entire home,Entire home/apt,9,N/A,2.5 baths,4,6,"1,333.00",2,30,t,30,60,66,68,4,1,0,4.75,5,4,5,5,4.75,5,f,1,1,0,0,0.09
32639657,240680916,Roger,2019-02-02,"Austin, TX",N/A,N/A,N/A,f,St. Johns,1,1,t,t,Austin,78752,Private room in rental unit,Private room,1,N/A,1 private bath,1,1,95.00,1,9,f,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,f,1,0,1,0,N/A
32640212,12604026,StayRelished,2014-02-26,"Austin, TX",within a few hours,100%,88%,f,South Lamar,6,11,t,t,Austin,78704,Entire condo,Entire home/apt,4,N/A,1 bath,1,1,139.00,3,5,t,0,0,0,0,12,0,0,5,5,5,5,5,4.82,4.82,f,1,1,0,0,0.25
32642224,3440175,James,2012-09-01,"Austin, TX",within an hour,100%,100%,f,Govalle,9,9,t,t,Austin,78702,Camper/RV,Entire home/apt,2,N/A,1 bath,N/A,2,52.00,1,1125,t,0,0,0,0,89,0,0,4.91,4.94,4.96,4.92,4.93,4.87,4.92,f,8,7,1,0,1.81
32642437,4640957,Amy,2013-01-09,"Austin, TX",within an hour,100%,90%,t,Rosewood,1,1,t,t,Austin,78702,Entire guesthouse,Entire home/apt,2,N/A,1 bath,1,1,225.00,3,10,t,15,40,70,70,96,14,0,4.98,4.95,4.97,4.99,5,4.92,4.9,f,1,1,0,0,1.96
32642588,245429516,Rhianna,2019-02-25,"Austin, TX",within an hour,100%,100%,t,South Manchaca,1,1,t,t,Austin,78745,Entire guest suite,Entire home/apt,2,N/A,1 bath,1,2,108.00,1,30,t,23,53,83,173,56,13,2,4.88,4.88,4.96,4.93,4.93,4.88,4.77,f,1,1,0,0,1.43
32643334,6626379,Tim,2013-05-28,"Austin, TX",N/A,N/A,N/A,f,Barton Hills,1,1,t,t,Austin,78704,Entire rental unit,Entire home/apt,2,N/A,1 bath,1,1,94.00,2,1125,t,0,0,0,0,8,0,0,4.25,4.5,4.38,5,4.88,5,4.5,f,1,1,0,0,0.17
32646959,33881184,Toni,2015-05-21,"Austin, TX",N/A,N/A,100%,f,Allendale,1,1,t,t,Austin,78756,Entire guesthouse,Entire home/apt,2,N/A,1 bath,1,1,135.00,30,120,t,2,32,62,336,7,1,0,5,5,4.71,5,5,5,5,f,1,1,0,0,0.14
32659163,238311081,Amber,2019-01-22,"Austin, TX",N/A,N/A,N/A,f,Parker Lane,1,1,t,t,Austin,78741,Private room in rental unit,Private room,4,N/A,1.5 shared baths,1,2,99.00,1,16,f,0,0,0,0,1,0,0,5,5,5,5,5,4,4,f,1,0,1,0,0.02
32659519,173270156,Lena & Josh,2018-02-13,N/A,N/A,N/A,N/A,f,N/A,1,1,t,t,Austin,78745,Private room in home,Private room,2,N/A,1 private bath,1,1,49.00,1,1125,t,0,0,0,0,36,0,0,4.94,5,4.89,5,5,4.97,4.94,f,1,0,1,0,0.74
32660772,19757868,Aaron,2014-08-10,"Austin, TX",N/A,N/A,100%,f,Lamplight Village,1,1,t,t,Austin,78727,Entire home,Entire home/apt,8,N/A,2 baths,3,4,192.00,2,28,t,0,0,0,0,52,3,0,4.83,4.9,4.63,5,4.96,4.94,4.88,t,1,1,0,0,1.09
32661257,1367443,Tim,2011-11-03,"Austin, TX",within a few hours,100%,94%,t,Govalle,1,1,t,t,Austin,78702,Private room in home,Private room,2,N/A,1 private bath,1,1,130.00,2,7,t,30,60,90,90,13,6,0,4.92,4.92,4.69,5,5,5,4.69,f,1,0,1,0,0.75
32664093,16088723,Will,2014-05-28,"Austin, TX",a few days or more,30%,38%,f,East Downtown,2,4,t,t,Austin,78702,Entire home,Entire home/apt,7,N/A,3 baths,4,4,948.00,2,6,t,17,33,58,147,87,14,0,4.86,4.94,4.71,4.95,4.93,4.94,4.82,f,2,1,1,0,1.78
32664431,18651055,Taylor,2014-07-22,"Austin, TX",within an hour,100%,100%,t,South First,3,3,t,f,Austin,78704,Entire guesthouse,Entire home/apt,2,N/A,1 bath,1,2,285.00,2,21,t,21,32,32,32,61,14,2,5,4.98,4.98,5,4.98,5,4.93,f,2,2,0,0,1.41
32664554,15864252,Walker Luxury Vacation,2014-05-22,"Austin, TX",within an hour,98%,100%,t,South First,28,30,t,f,Austin,78737,Entire home,Entire home/apt,16,N/A,7.5 baths,8,14,"1,313.00",2,28,t,18,37,64,328,15,10,0,4.53,4.6,4.6,4.67,4.8,4.8,4.4,t,20,20,0,0,0.42
32666944,23,Charlene,2008-03-03,"Austin, TX",within a day,100%,90%,f,McKinney,3,3,t,t,Austin,78744,Private room in home,Private room,2,N/A,1 private bath,1,1,98.00,2,42,t,8,38,68,241,13,10,0,4.77,4.85,4.77,4.92,4.92,4.54,4.77,f,3,1,2,0,0.31
32667361,387918,Amy & Justin,2011-02-11,"Austin, TX",within an hour,83%,83%,t,South Lamar,3,3,t,f,Austin,78704,Entire home,Entire home/apt,6,N/A,2.5 baths,2,4,550.00,2,1120,t,0,0,0,1,13,10,0,4.69,4.92,4.62,4.77,4.69,4.92,4.38,f,2,2,0,0,0.83
32667583,64952444,Ricardo,2016-03-29,"Austin, TX",within an hour,100%,91%,t,West Congress,1,1,t,t,Austin,78745,Entire guest suite,Entire home/apt,2,N/A,1 bath,1,1,72.00,1,31,t,22,52,82,172,181,34,2,4.81,4.88,4.83,4.96,4.87,4.85,4.87,f,1,1,0,0,3.7
32667808,245631584,Evelyn,2019-02-26,N/A,N/A,N/A,N/A,f,West Campus,1,1,t,f,Austin,78705,Entire rental unit,Entire home/apt,2,N/A,1 bath,1,1,75.00,1,5,t,0,0,0,0,9,0,0,4.89,5,4.67,5,5,5,4.89,t,1,1,0,0,0.18
32668776,14945558,Abi,2014-04-30,"Austin, TX",within an hour,100%,96%,t,N/A,3,3,t,t,Austin,78728,Private room in home,Private room,2,N/A,2 shared baths,1,1,58.00,2,1125,t,0,0,0,0,22,8,0,4.91,4.82,4.95,5,5,4.82,4.91,f,3,0,3,0,0.45
32669055,14945558,Abi,2014-04-30,"Austin, TX",within an hour,100%,96%,t,N/A,3,3,t,t,Austin,78728,Private room in home,Private room,2,N/A,2 shared baths,1,1,59.00,2,1125,t,15,45,62,62,18,3,0,5,5,5,5,5,5,5,f,3,0,3,0,0.38
32669150,14945558,Abi,2014-04-30,"Austin, TX",within an hour,100%,96%,t,N/A,3,3,t,t,Austin,78728,Private room in home,Private room,2,N/A,2 shared baths,1,1,65.00,2,1125,t,30,31,31,31,11,3,1,4.82,4.82,4.91,5,5,5,4.82,f,3,0,3,0,0.22
32673443,7401315,Brandon,2013-07-10,"Austin, TX",N/A,N/A,N/A,f,Mueller,1,1,t,t,Austin,78723,Entire townhouse,Entire home/apt,7,N/A,2 baths,3,5,179.00,2,1125,t,0,0,0,0,13,0,0,5,5,4.92,5,5,5,5,f,1,1,0,0,0.27
32674302,17351840,Damian,2014-06-28,"Denton, TX",N/A,N/A,N/A,f,East Riverside,1,1,t,t,Austin,78741,Private room in rental unit,Private room,2,N/A,2 baths,2,1,90.00,2,7,f,0,0,0,0,3,0,0,5,5,4.5,5,5,4.5,5,f,1,0,1,0,0.06
32685267,245761836,Alok,2019-02-27,"Houston, TX",N/A,N/A,N/A,f,Pleasant Valley,2,2,t,t,Austin,78741,Entire rental unit,Entire home/apt,4,N/A,1 bath,2,2,100.00,1,69,t,0,0,0,0,5,0,0,5,5,5,4.8,5,5,4.8,f,2,2,0,0,0.1
32690431,18182518,Paul,2014-07-16,"Austin, TX",N/A,N/A,N/A,f,Pecan Spings,1,1,t,t,Austin,78723,Entire home,Entire home/apt,6,N/A,2.5 baths,3,2,150.00,2,1125,t,0,0,0,0,10,0,0,5,5,5,5,5,4.9,4.9,f,1,1,0,0,0.21
32692674,38838248,Paula,2015-07-18,"Austin, TX",N/A,N/A,N/A,f,N/A,1,2,t,t,Austin,78733,Entire rental unit,Entire home/apt,4,N/A,2 baths,2,3,90.00,2,1125,t,0,0,0,0,13,0,0,4.92,5,5,5,5,4.85,5,f,1,1,0,0,0.27
32695158,245761836,Alok,2019-02-27,"Houston, TX",N/A,N/A,N/A,f,Pleasant Valley,2,2,t,t,Austin,78741,Entire rental unit,Entire home/apt,4,N/A,1 bath,2,2,150.00,1,69,t,0,0,0,0,11,0,0,5,5,4.91,4.91,5,5,4.91,t,2,2,0,0,0.23
32695888,1876215,Elizabeth,2012-03-07,"Austin, TX",within an hour,100%,100%,t,N/A,1,2,t,f,Austin,78702,Entire guesthouse,Entire home/apt,2,N/A,1 bath,1,1,340.00,2,1125,t,17,42,72,104,63,22,0,4.95,5,4.92,4.97,4.98,4.97,4.81,t,1,1,0,0,1.29
32696235,6795181,Lisa,2013-06-07,"Austin, TX",within an hour,100%,91%,t,Holly,1,3,t,t,Austin,78702,Private room in guest suite,Private room,2,N/A,1 private bath,1,1,137.00,3,20,t,4,17,42,98,29,26,3,4.86,4.79,4.86,4.86,4.86,4.93,4.83,f,1,0,1,0,1.74
32698932,51463720,Gisele,2015-12-15,"Austin, TX",within an hour,90%,86%,f,N/A,4,4,t,t,Austin,78725,Entire home,Entire home/apt,5,N/A,2 baths,2,2,189.00,3,1125,t,0,0,0,0,40,1,0,4.98,5,4.98,4.98,5,4.83,4.95,f,4,1,3,0,0.82
32699122,175281259,Virginia,2018-02-25,"Austin, TX",within an hour,100%,100%,t,Holly,1,1,t,t,Austin,78702,Entire townhouse,Entire home/apt,6,N/A,3.5 baths,3,5,443.00,1,29,t,23,43,73,162,51,16,0,5,4.98,4.94,5,5,4.82,4.96,f,1,1,0,0,1.07
32715639,236546898,Catherine,2019-01-14,"Austin, TX",within a day,100%,0%,f,Upper Boggy Creek,1,1,t,f,Austin,78722,Entire bungalow,Entire home/apt,4,N/A,1 bath,2,2,176.00,1,1125,t,14,30,30,165,25,0,0,4.96,4.92,4.96,4.96,4.96,5,4.76,f,1,1,0,0,0.51
32716659,246003909,Mary Helen,2019-02-28,N/A,within a few hours,100%,100%,t,N/A,1,1,t,t,Austin,78754,Entire townhouse,Entire home/apt,4,N/A,2 baths,3,2,260.00,30,120,t,3,17,20,34,12,3,0,4.58,4.67,4.58,5,4.92,4.75,4.5,f,1,1,0,0,0.25
32719790,25144675,Chris,2014-12-23,"Austin, TX",N/A,N/A,N/A,f,McKinney,1,1,t,t,Austin,78744,Private room in home,Private room,2,N/A,1 shared bath,1,1,42.00,1,7,t,0,0,0,0,32,0,0,5,5,5,5,5,5,5,f,1,0,1,0,0.65
32719857,136107005,Kiley,2017-06-20,"Austin, TX",within an hour,100%,100%,f,Gracywoods,1,1,t,t,Austin,78758,Entire home,Entire home/apt,6,N/A,2 baths,3,3,402.00,2,31,t,17,28,41,41,5,5,2,5,5,5,5,5,4.8,4.8,t,1,1,0,0,2.68
32720013,83794194,Lauren,2016-07-14,"Austin, TX",N/A,N/A,N/A,f,St. Edwards,2,2,t,t,Austin,78704,Camper/RV,Entire home/apt,3,N/A,1 bath,1,1,68.00,1,1125,t,0,0,0,0,55,0,0,4.49,4.8,4.58,4.87,4.89,4.93,4.62,t,2,2,0,0,1.12
32720821,246038290,Kevin,2019-02-28,"Austin, TX",within an hour,100%,100%,t,East Riverside,1,1,t,t,Austin,78741,Entire home,Entire home/apt,8,N/A,2 baths,4,4,384.00,3,28,t,22,44,70,70,85,17,1,4.84,4.86,4.84,4.75,4.85,4.94,4.75,f,1,1,0,0,1.75
32724757,12031191,Richelle,2014-02-07,"Austin, TX",within an hour,80%,100%,t,St. Edwards,4,5,t,t,Austin,78741,Private room in home,Private room,1,N/A,1 shared bath,1,1,52.00,14,60,t,0,0,0,0,4,0,0,5,5,5,5,5,5,5,f,3,2,1,0,0.08
32725641,181325586,Summer,2018-03-29,"Austin, TX",N/A,N/A,N/A,f,N/A,1,1,t,t,Austin,78717,Private room in rental unit,Private room,3,N/A,1 shared bath,1,1,45.00,1,1125,t,0,0,0,0,22,0,0,4.82,5,4.95,4.82,4.95,4.95,4.95,f,1,0,1,0,0.45
